"id","name","price","status","url"
51,"全国专业技术人员职称计算机应用能力考试模块2017年题库软件中级","16.00","772笔","//detail.tmall.com/item.htm?id=543922883994&skuId=4611686562350271898&user_id=2945704581&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
52,"2017年基金从业资格考试全套教材视频题库真题 私募/基础/法规","68.00","133笔","//detail.tmall.com/item.htm?id=529112242115&skuId=3187790034030&user_id=2433110470&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
53,"2017年一建二建机电一级二级建造师题库押题公路市政视频建筑课件","35.00","2226笔","//detail.tmall.com/item.htm?id=545670936443&skuId=3302562004950&user_id=1746862003&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
54,"2017工商银行春季校园柜员招聘考试笔试题库复习资料工行历年真题","35.00","176笔","//detail.tmall.com/item.htm?id=545496736936&skuId=3465747631625&user_id=2680682840&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
55,"233网校2017年初级银行从业VIP班零基础协议通关班送VIP题库","550.00","1笔","//detail.tmall.com/item.htm?id=42470554394&skuId=3163911533065&user_id=2207082029&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
56,"中公网校视频课程 2017青海省考专项题库班-资料分析 数量关系","338.00","1笔","//detail.tmall.com/item.htm?id=530936210962&skuId=4611686549363598866&user_id=2702313556&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
57,"233网校2017基金从业VIP题库-基金法律法规+私募股权投资基金基础","350.00","0笔","//detail.tmall.com/item.htm?id=546165833393&skuId=4611686564593221297&user_id=2207082029&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
58,"恒企官方2017会计初级/中级师职称视频培训实务课程件考试题库","332.80","24笔","//detail.tmall.com/item.htm?id=527279288568&skuId=3237681240788&user_id=2781891994&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
59,"浙江省2017职称计算机考试模块软件题库xp/word/ppt/excel2003/07","19.00","122笔","//detail.tmall.com/item.htm?id=538819670393&skuId=4611686557247058297&user_id=854176033&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
60,"考试宝典2017年二级一级注册建筑师考试题库软件真题试卷视频课件","168.00","12笔","//detail.tmall.com/item.htm?id=527267660059&skuId=3203624638918&user_id=2785901474&cat_id=2&is_b=1&rn=53190fe01fba1dc9a51e9c09a0f67f9f"
61,"2017年期货银行证券基金从业资格证考试题库押题软件真题视频课件","15.00","200笔","//detail.tmall.com/item.htm?id=531121471517&skuId=3234863365200&user_id=2785901474&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
62,"2017年注册会计师注会CPA考试视频课件课程题库特色班送2016","378.00","18笔","//detail.tmall.com/item.htm?id=36353828428&skuId=3468967522132&user_id=1837077133&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
63,"广东省正副高 2017年全科医学高级职称考试宝典题库 副主任医师题","198.00","3笔","//detail.tmall.com/item.htm?id=524768895286&skuId=4611686543196283190&user_id=2619810788&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
64,"2017年证券投资顾问胜任能力考试视频培训课件从业资格押题库软件","530.00","14笔","//detail.tmall.com/item.htm?id=536771008955&skuId=3204390248692&user_id=2450220366&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
65,"医学影像技术士 初级技士考试题库 2017年人卫版练习题集模拟试卷","24.00","187笔","//detail.tmall.com/item.htm?id=540549877753&skuId=4611686558977265657&user_id=2627558009&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
66,"2017年中星睿典全国职称计算机考试真题库系统InterExcel任一模块","19.00","10笔","//detail.tmall.com/item.htm?id=532746603733&skuId=4611686551173991637&user_id=2900514931&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
67,"小霞2017年证券/期货/基金从业资格考试题库软件机考系统两门","15.00","186笔","//detail.tmall.com/item.htm?id=534444181776&skuId=3191821260623&user_id=2577498496&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
68,"2017年证券分析师胜任能力考试视频通关课件从业资格题库课件软件","260.00","3笔","//detail.tmall.com/item.htm?id=536776526086&skuId=3205004364190&user_id=2450220366&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
